Loan_ID,Gender,Married,Dependents,Education,Self_Employed
LP001002,Male,No,0,Graduate,No
LP001003,Male,Yes,1,Graduate,No
LP001005,Male,Yes,0,Graduate,Yes
LP001006,Male,Yes,0,Not Graduate,No
LP001008,Male,No,0,Graduate,No
LP001011,Male,Yes,2,Graduate,Yes
LP001013,Male,Yes,0,Not Graduate,No
LP001014,Male,Yes,3+,Graduate,No
LP001018,Male,Yes,2,Graduate,No
LP001020,Male,Yes,1,Graduate,No
LP001024,Male,Yes,2,Graduate,No
LP001027,Male,Yes,2,Graduate,Yes
LP001028,Male,Yes,2,Graduate,No
LP001029,Male,No,0,Graduate,No
LP001030,Male,Yes,2,Graduate,No
LP001032,Male,No,0,Graduate,No
LP001034,Male,No,1,Not Graduate,No
LP001036,Female,No,0,Graduate,No
LP001038,Male,Yes,0,Not Graduate,No
LP001041,Male,Yes,0,Graduate,Yes
LP001043,Male,Yes,0,Not Graduate,No
LP001046,Male,Yes,1,Graduate,No
LP001047,Male,Yes,0,Not Graduate,No
LP001050,Male,Yes,2,Not Graduate,No
LP001052,Male,Yes,1,Graduate,Yes
LP001066,Male,Yes,0,Graduate,Yes
LP001068,Male,Yes,0,Graduate,No
LP001073,Male,Yes,2,Not Graduate,No
LP001086,Male,No,0,Not Graduate,No
LP001087,Female,No,2,Graduate,Yes
LP001091,Male,Yes,1,Graduate,Yes
LP001095,Male,No,0,Graduate,No
LP001097,Male,No,1,Graduate,Yes
LP001098,Male,Yes,0,Graduate,No
LP001100,Male,No,3+,Graduate,No
LP001106,Male,Yes,0,Graduate,No
LP001109,Male,Yes,0,Graduate,No
LP001112,Female,Yes,0,Graduate,No
LP001114,Male,No,0,Graduate,No
LP001116,Male,No,0,Not Graduate,No
LP001119,Male,No,0,Graduate,No
LP001120,Male,No,0,Graduate,No
LP001123,Male,Yes,0,Graduate,No
LP001131,Male,Yes,0,Graduate,No
LP001136,Male,Yes,0,Not Graduate,Yes
LP001137,Female,No,0,Graduate,No
LP001138,Male,Yes,1,Graduate,No
LP001144,Male,Yes,0,Graduate,No
LP001146,Female,Yes,0,Graduate,No
LP001151,Female,No,0,Graduate,No
LP001155,Female,Yes,0,Not Graduate,No
LP001157,Female,No,0,Graduate,No
LP001164,Female,No,0,Graduate,No
LP001179,Male,Yes,2,Graduate,No
LP001186,Female,Yes,1,Graduate,Yes
LP001194,Male,Yes,2,Graduate,No
LP001195,Male,Yes,0,Graduate,No
LP001197,Male,Yes,0,Graduate,No
LP001198,Male,Yes,1,Graduate,No
LP001199,Male,Yes,2,Not Graduate,No
LP001205,Male,Yes,0,Graduate,No
LP001206,Male,Yes,3+,Graduate,No
LP001207,Male,Yes,0,Not Graduate,Yes
LP001213,Male,Yes,1,Graduate,No
LP001222,Female,No,0,Graduate,No
LP001225,Male,Yes,0,Graduate,No
LP001228,Male,No,0,Not Graduate,No
LP001233,Male,Yes,1,Graduate,No
LP001238,Male,Yes,3+,Not Graduate,Yes
LP001241,Female,No,0,Graduate,No
LP001243,Male,Yes,0,Graduate,No
LP001245,Male,Yes,2,Not Graduate,Yes
LP001248,Male,No,0,Graduate,No
LP001250,Male,Yes,3+,Not Graduate,No
LP001253,Male,Yes,3+,Graduate,Yes
LP001255,Male,No,0,Graduate,No
LP001256,Male,No,0,Graduate,No
LP001259,Male,Yes,1,Graduate,Yes
LP001263,Male,Yes,3+,Graduate,No
LP001264,Male,Yes,3+,Not Graduate,Yes
LP001265,Female,No,0,Graduate,No
LP001266,Male,Yes,1,Graduate,Yes
LP001267,Female,Yes,2,Graduate,No
LP001273,Male,Yes,0,Graduate,No
LP001275,Male,Yes,1,Graduate,No
LP001279,Male,No,0,Graduate,No
LP001280,Male,Yes,2,Not Graduate,No
LP001282,Male,Yes,0,Graduate,No
LP001289,Male,No,0,Graduate,No
LP001310,Male,Yes,0,Graduate,No
LP001316,Male,Yes,0,Graduate,No
LP001318,Male,Yes,2,Graduate,No
LP001319,Male,Yes,2,Not Graduate,No
LP001322,Male,No,0,Graduate,No
LP001325,Male,No,0,Not Graduate,No
LP001326,Male,No,0,Graduate,Yes
LP001327,Female,Yes,0,Graduate,No
LP001333,Male,Yes,0,Graduate,No
LP001334,Male,Yes,0,Not Graduate,No
LP001343,Male,Yes,0,Graduate,No
LP001345,Male,Yes,2,Not Graduate,No
LP001349,Male,No,0,Graduate,No
LP001350,Male,Yes,,Graduate,No
LP001356,Male,Yes,0,Graduate,No
LP001357,Male,Yes,,Graduate,No
LP001367,Male,Yes,1,Graduate,No
LP001369,Male,Yes,2,Graduate,No
LP001370,Male,No,0,Not Graduate,Yes
LP001379,Male,Yes,2,Graduate,No
LP001384,Male,Yes,3+,Not Graduate,No
LP001385,Male,No,0,Graduate,No
LP001387,Female,Yes,0,Graduate,Yes
LP001391,Male,Yes,0,Not Graduate,No
LP001392,Female,No,1,Graduate,Yes
LP001398,Male,No,0,Graduate,Yes
LP001401,Male,Yes,1,Graduate,No
LP001404,Female,Yes,0,Graduate,No
LP001405,Male,Yes,1,Graduate,No
LP001421,Male,Yes,0,Graduate,No
LP001422,Female,No,0,Graduate,No
LP001426,Male,Yes,,Graduate,No
LP001430,Female,No,0,Graduate,No
LP001431,Female,No,0,Graduate,No
LP001432,Male,Yes,2,Graduate,No
LP001439,Male,Yes,0,Not Graduate,No
LP001443,Female,No,0,Graduate,No
LP001448,Male,Yes,3+,Graduate,No
LP001449,Male,No,0,Graduate,No
LP001451,Male,Yes,1,Graduate,Yes
LP001465,Male,Yes,0,Graduate,No
LP001469,Male,No,0,Graduate,Yes
LP001473,Male,No,0,Graduate,No
LP001478,Male,No,0,Graduate,No
LP001482,Male,Yes,0,Graduate,Yes
LP001487,Male,No,0,Graduate,No
LP001488,Male,Yes,3+,Graduate,No
LP001489,Female,Yes,0,Graduate,No
LP001491,Male,Yes,2,Graduate,Yes
LP001492,Male,No,0,Graduate,No
LP001493,Male,Yes,2,Not Graduate,No
LP001497,Male,Yes,2,Graduate,No
LP001498,Male,No,0,Graduate,No
LP001504,Male,No,0,Graduate,Yes
LP001507,Male,Yes,0,Graduate,No
LP001508,Male,Yes,2,Graduate,No
LP001514,Female,Yes,0,Graduate,No
LP001516,Female,Yes,2,Graduate,No
LP001518,Male,Yes,1,Graduate,No
LP001519,Female,No,0,Graduate,No
LP001520,Male,Yes,0,Graduate,No
LP001528,Male,No,0,Graduate,No
LP001529,Male,Yes,0,Graduate,Yes
LP001531,Male,No,0,Graduate,No
LP001532,Male,Yes,2,Not Graduate,No
LP001535,Male,No,0,Graduate,No
LP001536,Male,Yes,3+,Graduate,No
LP001541,Male,Yes,1,Graduate,No
LP001543,Male,Yes,1,Graduate,No
LP001546,Male,No,0,Graduate,Yes
LP001552,Male,Yes,0,Graduate,No
LP001560,Male,Yes,0,Not Graduate,No
LP001562,Male,Yes,0,Graduate,No
LP001565,Male,Yes,1,Graduate,No
LP001570,Male,Yes,2,Graduate,No
LP001572,Male,Yes,0,Graduate,No
LP001574,Male,Yes,0,Graduate,No
LP001577,Female,Yes,0,Graduate,No
LP001578,Male,Yes,0,Graduate,No
LP001579,Male,No,0,Graduate,No
LP001580,Male,Yes,2,Graduate,No
LP001581,Male,Yes,0,Not Graduate,Yes
LP001585,Male,Yes,3+,Graduate,No
LP001586,Male,Yes,3+,Not Graduate,No
LP001594,Male,Yes,0,Graduate,No
LP001603,Male,Yes,0,Not Graduate,Yes
LP001606,Male,Yes,0,Graduate,No
LP001608,Male,Yes,2,Graduate,No
LP001610,Male,Yes,3+,Graduate,No
LP001616,Male,Yes,1,Graduate,No
LP001630,Male,No,0,Not Graduate,No
LP001633,Male,Yes,1,Graduate,No
LP001634,Male,No,0,Graduate,No
LP001636,Male,Yes,0,Graduate,No
LP001637,Male,Yes,1,Graduate,No
LP001639,Female,Yes,0,Graduate,No
LP001640,Male,Yes,0,Graduate,Yes
LP001641,Male,Yes,1,Graduate,Yes
LP001643,Male,Yes,0,Graduate,No
LP001644,Male,Yes,0,Graduate,Yes
LP001647,Male,Yes,0,Graduate,No
LP001653,Male,No,0,Not Graduate,No
LP001656,Male,No,0,Graduate,No
LP001657,Male,Yes,0,Not Graduate,No
LP001658,Male,No,0,Graduate,No
LP001664,Male,No,0,Graduate,No
LP001665,Male,Yes,1,Graduate,No
LP001666,Male,No,0,Graduate,No
LP001669,Female,No,0,Not Graduate,No
LP001671,Female,Yes,0,Graduate,No
LP001673,Male,No,0,Graduate,Yes
LP001674,Male,Yes,1,Not Graduate,No
LP001677,Male,No,2,Graduate,No
LP001682,Male,Yes,3+,Not Graduate,No
LP001688,Male,Yes,1,Not Graduate,No
LP001691,Male,Yes,2,Not Graduate,No
LP001692,Female,No,0,Not Graduate,No
LP001693,Female,No,0,Graduate,No
LP001698,Male,No,0,Not Graduate,No
LP001699,Male,No,0,Graduate,No
LP001702,Male,No,0,Graduate,No
LP001708,Female,No,0,Graduate,No
LP001711,Male,Yes,3+,Graduate,No
LP001713,Male,Yes,1,Graduate,Yes
LP001715,Male,Yes,3+,Not Graduate,Yes
LP001716,Male,Yes,0,Graduate,No
LP001720,Male,Yes,3+,Not Graduate,No
LP001722,Male,Yes,0,Graduate,No
LP001726,Male,Yes,0,Graduate,No
LP001732,Male,Yes,2,Graduate,Yes
LP001734,Female,Yes,2,Graduate,No
LP001736,Male,Yes,0,Graduate,No
LP001743,Male,Yes,2,Graduate,No
LP001744,Male,No,0,Graduate,No
LP001749,Male,Yes,0,Graduate,No
LP001750,Male,Yes,0,Graduate,No
LP001751,Male,Yes,0,Graduate,No
LP001754,Male,Yes,,Not Graduate,Yes
LP001758,Male,Yes,2,Graduate,No
LP001760,Male,Yes,,Graduate,No
LP001761,Male,No,0,Graduate,Yes
LP001765,Male,Yes,1,Graduate,No
LP001768,Male,Yes,0,Graduate,Yes
LP001770,Male,No,0,Not Graduate,No
LP001776,Female,No,0,Graduate,No
LP001778,Male,Yes,1,Graduate,No
LP001784,Male,Yes,1,Graduate,No
LP001786,Male,Yes,0,Graduate,Yes
LP001788,Female,No,0,Graduate,Yes
LP001790,Female,No,1,Graduate,No
LP001792,Male,Yes,1,Graduate,No
LP001798,Male,Yes,2,Graduate,No
LP001800,Male,Yes,1,Not Graduate,No
LP001806,Male,No,0,Graduate,No
LP001807,Male,Yes,2,Graduate,Yes
LP001811,Male,Yes,0,Not Graduate,No
LP001813,Male,No,0,Graduate,Yes
LP001814,Male,Yes,2,Graduate,No
LP001819,Male,Yes,1,Not Graduate,No
LP001824,Male,Yes,1,Graduate,No
LP001825,Male,Yes,0,Graduate,No
LP001835,Male,Yes,0,Not Graduate,No
LP001836,Female,No,2,Graduate,No
LP001841,Male,No,0,Not Graduate,Yes
LP001843,Male,Yes,1,Not Graduate,No
LP001844,Male,No,0,Graduate,Yes
LP001846,Female,No,3+,Graduate,No
LP001849,Male,No,0,Not Graduate,No
LP001854,Male,Yes,3+,Graduate,No
LP001859,Male,Yes,0,Graduate,No
LP001864,Male,Yes,3+,Not Graduate,No
LP001865,Male,Yes,1,Graduate,No
LP001868,Male,No,0,Graduate,No
LP001870,Female,No,1,Graduate,No
LP001871,Female,No,0,Graduate,No
LP001872,Male,No,0,Graduate,Yes
LP001875,Male,No,0,Graduate,No
LP001877,Male,Yes,2,Graduate,No
LP001882,Male,Yes,3+,Graduate,No
LP001883,Female,No,0,Graduate,Yes
LP001884,Female,No,1,Graduate,No
LP001888,Female,No,0,Graduate,No
LP001891,Male,Yes,0,Graduate,No
LP001892,Male,No,0,Graduate,No
LP001894,Male,Yes,0,Graduate,No
LP001896,Male,Yes,2,Graduate,No
LP001900,Male,Yes,1,Graduate,No
LP001903,Male,Yes,0,Graduate,No
LP001904,Male,Yes,0,Graduate,No
LP001907,Male,Yes,0,Graduate,No
LP001908,Female,Yes,0,Not Graduate,No
LP001910,Male,No,1,Not Graduate,Yes
LP001914,Male,Yes,0,Graduate,No
LP001915,Male,Yes,2,Graduate,No
LP001917,Female,No,0,Graduate,No
LP001922,Male,Yes,0,Graduate,No
LP001924,Male,No,0,Graduate,No
LP001925,Female,No,0,Graduate,Yes
LP001926,Male,Yes,0,Graduate,No
LP001931,Female,No,0,Graduate,No
LP001935,Male,No,0,Graduate,No
LP001936,Male,Yes,0,Graduate,No
LP001938,Male,Yes,2,Graduate,No
LP001940,Male,Yes,2,Graduate,No
LP001945,Female,No,,Graduate,No
LP001947,Male,Yes,0,Graduate,No
LP001949,Male,Yes,3+,Graduate,No
LP001953,Male,Yes,1,Graduate,No
LP001954,Female,Yes,1,Graduate,No
LP001955,Female,No,0,Graduate,No
LP001963,Male,Yes,1,Graduate,No
LP001964,Male,Yes,0,Not Graduate,No
LP001972,Male,Yes,,Not Graduate,No
LP001974,Female,No,0,Graduate,No
LP001977,Male,Yes,1,Graduate,No
LP001978,Male,No,0,Graduate,No
LP001990,Male,No,0,Not Graduate,No
LP001993,Female,No,0,Graduate,No
LP001994,Female,No,0,Graduate,No
LP001996,Male,No,0,Graduate,No
LP001998,Male,Yes,2,Not Graduate,No
LP002002,Female,No,0,Graduate,No
LP002004,Male,No,0,Not Graduate,No
LP002006,Female,No,0,Graduate,No
LP002008,Male,Yes,2,Graduate,Yes
LP002024,Male,Yes,0,Graduate,No
LP002031,Male,Yes,1,Not Graduate,No
LP002035,Male,Yes,2,Graduate,No
LP002036,Male,Yes,0,Graduate,No
LP002043,Female,No,1,Graduate,No
LP002050,Male,Yes,1,Graduate,Yes
LP002051,Male,Yes,0,Graduate,No
LP002053,Male,Yes,3+,Graduate,No
LP002054,Male,Yes,2,Not Graduate,No
LP002055,Female,No,0,Graduate,No
